trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.001892745058914}",20,0,-83.99447644261737,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0014783650447279}",20,0,-86.88727473457337,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0010601846038587}",25,0,-173.21268879654068,"{0: 9, 1: 8, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0006381724108437}",30,0,-177.1408792380378,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0002122969502132}",20,0,-136.08211515621383,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9997825265167125}",20,0,-40.2462472995399,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9993488292155562}",20,0,-118.54154520003874,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9989111729627204}",25,0,-52.910443736550164,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9984695254852686}",20,7,-7.616246394299842,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9980238543217164}",25,0,-79.25964653650428,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9975741268224334}",25,0,-53.060906581144295,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9971203101500811}",20,0,-24.708510462442533,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9966623712800949}",25,0,-103.70288653800914,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9962002770012001}",25,11,-7.133005654824953,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9957339939159733}",20,14,-0.9905506444715502,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9952634884414434}",25,0,-148.25355657812494,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9947887268097336}",25,0,-130.93585540453867,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9943096750687493}",25,5,-53.494740762691144,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9938262990829084}",25,0,-107.64432027213176,"{0: 12, 1: 7, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9933385645339152}",30,0,-211.9981175721774,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9928464369215824}",35,2,-113.340523973243,"{0: 20, 1: 8, 2: 3, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9923498815646971}",20,0,-82.89877341664746,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9918488636019362}",20,0,-188.10890683297734,"{0: 7, 1: 4, 2: 4, 3: 3, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9913433479928281}",30,11,-79.6698321556213,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.990833299518764}",30,6,-150.02794432342858,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 3}",1
26,False,"{'a': 0.5, 'e': 0.9903186827840592}",25,0,-111.45715884327798,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9897994622170657}",20,0,-202.836566167547,"{0: 8, 1: 5, 2: 3, 3: 0, 4: 4}",0
28,False,"{'a': 0.5, 'e': 0.9892756020713346}",25,0,-164.91329963556151,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9887470664268327}",25,0,-56.34224669541491,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9882138191912115}",20,0,-75.26491989489149,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9876758241011313}",20,0,-81.26285963154822,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.987133044723639}",20,0,-66.78068107206985,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9865854444576038}",30,0,-83.99849816838747,"{0: 19, 1: 7, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9860329865352083}",30,0,-106.7389634154741,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9854756340234985}",20,0,-96.52822994044746,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9849133498259924}",20,0,-116.06705907413956,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9843460966843479}",20,0,-65.46949475904955,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9837738371800919}",30,0,-113.64661442309814,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9831965337364115}",20,0,-152.55876062550857,"{0: 10, 1: 1, 2: 4, 3: 4, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9826141486200055}",25,0,-114.40840657669266,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9820266439430035}",25,0,-40.73666073535369,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9814339816649448}",20,0,-37.780062451337955,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9808361235948261}",25,0,-112.76311234968652,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9802330313932145}",35,16,-142.09576561190337,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.9796246665744274}",30,0,-113.96532458360231,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9790109905087813}",30,7,-115.36400338457373,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.9783919644249094}",25,0,-196.44056406255865,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.97776754941215}",20,0,-74.70066968710286,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9771377064230056}",20,0,-23.805232402950526,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.976502396275674}",25,0,-83.67737720603738,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9758615796566533}",25,0,-170.6598891594521,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.97521521712342}",25,0,-83.50015623174352,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.974563269107183}",35,0,-86.12764277977824,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9739056959157127}",25,0,-119.70067617225523,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9732424577362486}",25,3,-147.20117954447895,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.9725735146384823}",30,0,-177.18072467148127,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9718988265776218}",25,0,-135.14439564539902,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9712183533975348}",25,0,-84.27958124035173,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.970532054833972}",20,2,-85.07791443424915,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.9698398905178734}",20,0,-59.68789424333491,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9691418199787566}",20,0,-110.39035017285849,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9684378026481879}",35,0,-199.45001854950723,"{0: 18, 1: 3, 2: 11, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9677277978633402}",20,3,-99.17471825444474,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.9670117648706337}",20,0,-119.956675660783,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9662896628294649}",20,5,-63.56810999796663,"{0: 7, 1: 4, 2: 3, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.9655614508160216}",20,0,-129.95209803389918,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",1
67,False,"{'a': 0.5, 'e': 0.9648270878271877}",20,0,-79.91088543046271,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9640865327845347}",35,0,-293.52775635400667,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 5}",0
69,False,"{'a': 0.5, 'e': 0.9633397445384054}",20,0,-29.952642478537403,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9625866818720872}",30,0,-162.92883022508084,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",1
71,False,"{'a': 0.5, 'e': 0.9618273035060777}",20,0,-82.99614477228397,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9610615681024419}",35,0,-135.25710822014975,"{0: 22, 1: 4, 2: 6, 3: 2, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9602894342692643}",30,0,-147.60081647914254,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9595108605651936}",20,7,-68.238462409311,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.9587258055040834}",25,7,-69.99014691431026,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.9579342275597287}",25,0,-134.9031428172067,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9571360851706988}",25,8,-76.56130123435283,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.9563313367452667}",25,0,-186.45150285050983,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
79,False,"{'a': 0.5, 'e': 0.9555199406664386}",25,0,-31.143621793390725,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9547018552970803}",20,0,-156.7483295388425,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9538770389851439}",20,0,-79.44973715960339,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9530454500689957}",25,0,-101.69284482471387,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
