trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.67485141426417,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9975000052083205}",30,3,-114.88471681334087,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9950000416662501}",30,0,-307.90047087409204,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.992500140621836}",20,0,-70.12971944723061,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9900003333200006}",30,0,-104.6101172884886,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9875006510009793}",35,0,-216.75581196234629,"{0: 24, 1: 3, 2: 1, 3: 3, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9850011248987592}",20,0,-134.33263903398415,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9825017862395194}",25,0,-116.20955016438079,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9800026662400692}",25,0,-118.85208359122237,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9775037961062902}",30,0,-218.95279528421153,"{0: 16, 1: 6, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9750052070315792}",25,0,-101.93943277840405,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.97250693019529}",30,0,-145.35484440216337,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9700089967611798}",30,0,-110.09562427446231,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9675114378758551}",30,0,-215.83696389317606,"{0: 19, 1: 3, 2: 2, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9650142846672205}",20,0,-149.26321310455597,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9625175682429296}",30,0,-119.59090074259007,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9600213196888365}",20,0,-77.38949791710695,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9575255700674518}",20,0,-115.99741388024597,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9550303504163998}",25,1,-119.94824711697808,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.9525356917468778}",30,0,-136.8676506401208,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.95004162504212}",35,0,-206.33867866561795,"{0: 20, 1: 2, 2: 8, 3: 3, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9475481812558626}",20,0,-84.65588581577103,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
