trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-64.92926815029504,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-190.6698892065978,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-157.26346933975395,"{0: 18, 1: 4, 2: 12, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-80.4932441609329,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-100.01053725520401,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-172.5448895226216,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-110.87611598372607,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-157.81389060418238,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-107.44864377180636,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,14,-55.30705758158793,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-23.660231455592058,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-72.05732230761782,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-14.58014746796099,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,4.363688044669189,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-22.748608431115045,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-100.3837365371623,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-43.50050840848903,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,7,18.49783173714297,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-22.319023386412667,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-72.31095973171062,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,16,7.082699916048133,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,-0.5631408180505773,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,12,-23.33367970655309,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,16,4.050855085053847,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",25,5,-23.989410243882688,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",30,4,-72.90185251582228,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 2}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,14,4.898607469048812,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-13.131995085595138,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,20,7.556955301975083,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",30,4,-20.184180128419055,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
