trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9986879829769834}",20,0,-141.88820396063468,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9986800980671066}",20,0,-126.86652086106932,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9986721658364318}",30,0,-157.2076330468786,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9986641860017575}",20,0,-64.99926723670033,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9986561582781966}",25,17,-28.425879775417304,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9986480823791671}",20,0,-122.55949047772582,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9986399580163814}",20,0,-142.24449046671631,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9986317848998367}",20,0,-150.57985350978151,"{0: 7, 1: 2, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9986235627378053}",20,0,-172.86455133672436,"{0: 6, 1: 5, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9986152912368231}",30,0,-193.99792368377436,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9986069701016815}",25,0,-161.28789513897704,"{0: 10, 1: 6, 2: 4, 3: 5, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.998598599035415}",35,0,-276.74924711156103,"{0: 17, 1: 5, 2: 7, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9985901777392923}",20,13,-13.323311507849358,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9985817059128052}",20,0,-128.56180338834966,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9985731832536584}",25,8,-81.27628473614584,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9985646094577594}",35,3,-61.17316221294633,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9985559842192073}",25,0,-81.62734476502857,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9985473072302822}",25,0,-68.38002313900917,"{0: 18, 1: 5, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9985385781814351}",20,0,-68.48950845645535,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9985297967612767}",20,0,-104.77371204522112,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.998520962656567}",30,0,-214.51045334746877,"{0: 14, 1: 6, 2: 4, 3: 4, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9985120755522034}",25,0,-121.78253864814782,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9985031351312114}",25,0,-64.95296328329754,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9984941410747321}",25,0,-159.74785417193215,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9984850930620124}",25,0,-158.83143681350006,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9984759907703924}",25,0,-97.6711394387835,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9984668338752958}",20,0,-121.51836401633314,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.998457622050218}",20,0,-70.93806145231628,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9984483549667142}",20,0,-58.63958365888306,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9984390322943894}",30,0,-129.1187089619952,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.998429653700885}",20,0,-140.18968586345733,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",1
32,False,"{'a': 0.5, 'e': 0.9984202188518695}",30,0,-265.17202894303904,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
33,False,"{'a': 0.5, 'e': 0.9984107274110255}",20,0,-111.01255172451106,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9984011790400384}",30,0,-169.97688169510442,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9983915733985846}",20,0,-65.82705689671033,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9983819101443203}",20,12,-22.206293735268,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.9983721889328693}",30,0,-77.3340795895673,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9983624094178101}",25,0,-193.13755081806045,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9983525712506663}",25,0,-64.90689640950245,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9983426740808923}",25,0,-174.8666781499076,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9983327175558623}",20,9,-38.109571950599374,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.9983227013208574}",30,0,-108.31913361635607,"{0: 14, 1: 8, 2: 7, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.9983126250190552}",20,0,-64.88998644793085,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9983024882915144}",20,0,-106.4954304362764,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9982922907771655}",20,0,-85.00072408716024,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.9982820321127964}",25,0,-156.71266892727414,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9982717119330408}",25,0,-136.92908750147157,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9982613298703649}",20,0,-190.64497532492794,"{0: 10, 1: 3, 2: 1, 3: 3, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9982508855550554}",35,0,-376.6048817620044,"{0: 16, 1: 1, 2: 10, 3: 2, 4: 6}",0
50,False,"{'a': 0.5, 'e': 0.9982403786152069}",25,0,-171.48831526573125,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9982298086767082}",25,0,-158.49130331562247,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9982191753632298}",25,0,-134.12545946980754,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9982084782962118}",20,0,-128.60491142028275,"{0: 14, 1: 1, 2: 0, 3: 3, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9981977170948494}",25,8,-67.86711275109657,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.9981868913760811}",25,15,-41.68396717395492,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.9981760007545748}",20,0,-45.836164399646314,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9981650448427145}",25,0,-122.36231395070128,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9981540232505874}",25,10,-25.63810754550697,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.998142935585971}",20,0,-108.44229786971027,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9981317814543178}",30,0,-156.81868003739328,"{0: 15, 1: 2, 2: 12, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9981205604587439}",20,0,-85.69818166428398,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9981092722000136}",25,0,-160.67893609153404,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9980979162765271}",20,0,-34.29515406414134,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9980864922843057}",20,0,-82.03255811201109,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9980749998169788}",25,0,-179.87866710540644,"{0: 14, 1: 2, 2: 3, 3: 4, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9980634384657694}",20,0,-176.58948435153104,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.9980518078194797}",30,0,-187.2572165607735,"{0: 18, 1: 5, 2: 2, 3: 2, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.9980401074644782}",25,11,-20.85904897581954,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.9980283369846848}",20,0,-83.06674017748593,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
