trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.16898175580872,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.60024403446413,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,7,-16.557135567810715,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-98.7241334558511,"{0: 21, 1: 3, 2: 11, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.42910322213929,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,1,-55.92741235608642,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.35265614418408,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.71015241582904,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-74.68524956178999,"{0: 22, 1: 7, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.12665392915407,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.86205357995418,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.36472917809559,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.24271777720997,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.11448075612321,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,5,-69.78754999044641,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.6647663780267,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.0890697986104,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.2906339705828,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-15.473538678944355,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.55029069385579,"{0: 11, 1: 7, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.74448333703795,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.58869837443389,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-17.990570339706043,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-130.65305686076752,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.942526998956474,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.6763565246234,"{0: 8, 1: 6, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-24.980442273831628,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-82.29215516201045,"{0: 16, 1: 8, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-81.61787340160865,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-69.07021700125858,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
