trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0, 'e': 0}",20,0,-50.64095655531433,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0, 'e': 0}",30,0,-148.29686926678193,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0, 'e': 0}",30,0,-171.0496145113233,"{0: 14, 1: 6, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0, 'e': 0}",20,0,-171.88930439890643,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0, 'e': 0}",25,0,-221.36105673752132,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
6,False,"{'a': 0, 'e': 0}",25,0,-208.94483822953205,"{0: 9, 1: 3, 2: 10, 3: 1, 4: 2}",0
7,False,"{'a': 0, 'e': 0}",25,0,-105.63688451293959,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0, 'e': 0}",20,0,-93.06663038170515,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0, 'e': 0}",25,0,-105.5630564555813,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0, 'e': 0}",25,0,-182.5320178081235,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0, 'e': 0}",20,0,-172.11007980272737,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0, 'e': 0}",20,0,-34.548678189697796,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0, 'e': 0}",30,0,-146.8831612013615,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0, 'e': 0}",25,0,-244.08020301192045,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
15,False,"{'a': 0, 'e': 0}",20,6,-37.310247622061624,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0, 'e': 0}",25,0,-71.74051652923477,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0, 'e': 0}",25,0,-184.51955333841025,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0, 'e': 0}",20,0,-91.7734041083495,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0, 'e': 0}",20,0,-163.7680903056537,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0, 'e': 0}",25,0,-87.30621509499846,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,1,-70.51518626671256,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-78.8978624073584,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-91.063752036714,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-32.05876754405921,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-91.37880655631328,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-193.170429617589,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,5,-116.69577695874462,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-131.75203843036735,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-182.82034944149254,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-143.22701627037887,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
